tick,burning,burnt,extinguished,messages,firefighters,contained_at
1,11,0,0,0,24,-1
2,18,0,1,37,24,-1
3,19,0,2,37,24,-1
4,27,3,4,76,24,-1
5,19,11,7,76,24,-1
6,22,17,9,123,24,-1
7,23,19,13,123,24,-1
8,22,26,15,183,24,-1
9,29,26,17,183,24,-1
10,21,34,21,232,24,-1
11,24,38,25,232,24,-1
12,25,41,27,287,24,-1
13,24,48,29,287,24,-1
14,27,51,32,351,24,-1
15,23,58,35,351,24,-1
16,23,61,40,422,24,-1
17,24,67,42,422,24,-1
18,26,71,44,478,24,-1
19,28,76,46,478,24,-1
20,29,82,48,542,24,-1
21,32,87,53,542,24,-1
22,35,92,59,605,24,-1
23,39,97,63,605,24,-1
24,45,105,66,670,24,-1
25,52,113,68,670,24,-1
26,51,124,73,742,24,-1
27,60,135,78,742,24,-1
28,62,145,82,811,24,-1
29,58,160,86,811,24,-1
30,52,172,90,890,24,-1
31,47,192,92,890,24,-1
32,41,203,94,945,24,-1
33,43,213,96,945,24,-1
34,35,221,97,1010,24,-1
35,30,237,98,1010,24,-1
36,35,241,101,1082,24,-1
37,29,254,104,1082,24,-1
38,41,254,109,1162,24,-1
39,32,264,115,1162,24,-1
40,26,272,120,1245,24,-1
41,20,279,124,1245,24,-1
42,15,288,125,1312,24,-1
43,22,291,128,1312,24,-1
44,31,293,131,1415,24,-1
45,33,297,134,1415,24,-1
46,28,302,140,1517,24,-1
47,31,308,142,1517,24,-1
48,32,315,145,1609,24,-1
49,41,320,148,1609,24,-1
50,47,326,153,1729,24,-1
51,57,335,155,1729,24,-1
52,52,344,157,1855,24,-1
53,53,357,158,1855,24,-1
54,41,371,162,1982,24,-1
55,23,390,165,1982,24,-1
56,20,395,167,2035,24,-1
57,15,404,168,2035,24,-1
58,21,408,168,2069,24,-1
59,25,411,168,2069,24,-1
60,27,415,171,2099,24,-1
61,36,418,173,2099,24,-1
62,29,427,175,2123,24,-1
63,29,433,177,2123,24,-1
64,23,440,179,2147,24,-1
65,18,450,181,2147,24,-1
66,21,454,182,2174,24,-1
67,21,459,183,2174,24,-1
68,23,461,184,2213,24,-1
69,25,467,185,2213,24,-1
70,26,473,187,2249,24,-1
71,39,476,188,2249,24,-1
72,41,481,189,2281,24,-1
73,39,490,190,2281,24,-1
74,40,499,192,2311,24,-1
75,27,512,192,2311,24,-1
76,22,520,192,2342,24,-1
77,16,528,193,2342,24,-1
78,8,539,194,2372,24,-1
79,13,539,195,2372,24,-1
80,10,541,197,2414,24,-1
81,6,542,200,2414,24,-1
82,5,545,201,2444,24,-1
83,6,548,202,2444,24,-1
84,8,548,205,2500,24,-1
85,9,548,208,2500,24,-1
86,4,549,212,2556,24,-1
87,0,551,215,2556,24,87
