tick,burning,burnt,extinguished,messages,firefighters,contained_at
1,17,0,2,0,24,-1
2,27,0,5,47,24,-1
3,43,0,9,47,24,-1
4,60,3,14,106,24,-1
5,73,13,20,106,24,-1
6,94,21,26,178,24,-1
7,112,38,32,178,24,-1
8,131,52,36,254,24,-1
9,147,77,42,254,24,-1
10,174,106,47,338,24,-1
11,207,140,51,338,24,-1
12,235,172,55,428,24,-1
13,252,215,58,428,24,-1
14,240,271,62,529,24,-1
15,212,339,66,529,24,-1
16,189,397,68,627,24,-1
17,173,459,73,627,24,-1
18,154,505,79,731,24,-1
19,149,545,84,731,24,-1
20,162,576,90,819,24,-1
21,145,618,96,819,24,-1
22,164,645,98,918,24,-1
23,169,683,98,918,24,-1
24,170,730,102,1030,24,-1
25,184,759,105,1030,24,-1
26,197,805,107,1142,24,-1
27,212,848,110,1142,24,-1
28,214,896,113,1278,24,-1
29,216,938,116,1278,24,-1
30,206,996,120,1418,24,-1
31,202,1051,125,1418,24,-1
32,210,1102,129,1562,24,-1
33,231,1147,133,1562,24,-1
34,233,1196,137,1706,24,-1
35,250,1244,141,1706,24,-1
36,261,1301,144,1850,24,-1
37,274,1369,145,1850,24,-1
38,297,1423,146,1985,24,-1
39,283,1490,147,1985,24,-1
40,264,1560,148,2128,24,-1
41,241,1641,150,2128,24,-1
42,219,1716,151,2260,24,-1
43,221,1770,152,2260,24,-1
44,210,1822,154,2370,24,-1
45,183,1882,156,2370,24,-1
46,154,1932,158,2474,24,-1
47,116,1988,160,2474,24,-1
48,106,2027,161,2570,24,-1
49,101,2062,162,2570,24,-1
50,102,2085,162,2660,24,-1
51,102,2104,162,2660,24,-1
52,107,2132,162,2748,24,-1
53,101,2163,162,2748,24,-1
54,94,2187,162,2836,24,-1
55,93,2206,162,2836,24,-1
56,69,2239,162,2910,24,-1
57,54,2264,162,2910,24,-1
58,43,2281,162,2974,24,-1
59,28,2299,162,2974,24,-1
60,22,2308,162,3014,24,-1
61,14,2318,162,3014,24,-1
62,8,2324,162,3014,24,-1
63,5,2327,162,3014,24,-1
64,2,2330,162,3014,24,-1
65,0,2332,162,3014,24,65
