run_index,seed,perception_r,final_burnt,contained_at,idle_pct,avg_cells_scanned,messages,firefighters,max_ticks
0,51,2,2299,51,0.76266137040715,22.420059582919563,1216,24,300
1,52,2,2301,50,0.7773549000951475,22.16079923882017,1048,24,300
2,53,2,2270,75,0.8209606986899564,22.399251403618216,1273,24,300
3,54,2,2260,59,0.7966903073286052,21.861308116627267,1150,24,300
4,55,2,2313,52,0.7980392156862746,21.522549019607844,930,24,300
5,56,2,2256,62,0.7784045124899275,21.90330378726833,1603,24,300
6,57,2,2261,62,0.7857142857142857,21.925361155698234,1465,24,300
7,58,2,2283,44,0.7079545454545455,21.425,1219,24,300
8,59,2,2271,71,0.83736120182887,21.87851077726976,1164,24,300
9,60,2,2278,66,0.8050668543279381,21.73469387755102,1149,24,300
10,61,2,2287,47,0.7282157676348547,21.70539419087137,1105,24,300
11,62,2,2258,55,0.752007136485281,21.694915254237287,1289,24,300
12,63,2,2260,83,0.8421351504826803,22.66325951164111,1475,24,300
13,64,2,2287,63,0.815946348733234,21.592399403874815,1037,24,300
14,65,2,2297,57,0.7851099830795262,22.29357021996616,1324,24,300
15,66,2,2247,71,0.8070761014686249,21.845794392523363,1242,24,300
16,67,2,2316,44,0.7294398092967819,21.99046483909416,1084,24,300
17,68,2,2256,46,0.7374429223744292,22.32648401826484,1325,24,300
18,69,2,2276,68,0.8,22.60348432055749,1267,24,300
19,70,2,2235,61,0.7566052842273819,22.094475580464373,1472,24,300
20,71,2,2258,65,0.7852941176470588,21.471323529411766,1352,24,300
21,72,2,2287,76,0.8539465506525793,22.37849596022374,1429,24,300
22,73,2,2237,67,0.7707756232686981,21.62465373961219,1415,24,300
23,74,2,2267,72,0.8255813953488372,22.074935400516797,1227,24,300
24,75,2,2261,57,0.8099838969404187,21.750402576489535,971,24,300
25,76,2,2270,59,0.7855477855477856,21.865578865578865,1168,24,300
26,77,2,2287,52,0.7659372026641293,22.52140818268316,1333,24,300
27,78,2,2264,73,0.8215686274509804,21.999346405228756,1220,24,300
28,79,2,2219,59,0.7654516640253566,22.077654516640255,1062,24,300
29,80,2,2298,78,0.8450274557657108,22.451494813910923,1188,24,300
30,81,2,2274,67,0.8148148148148148,22.292735042735043,1230,24,300
31,82,2,3,4,1.0,24.427083333333332,0,24,300
32,83,2,2294,64,0.8105761641673244,22.76400947119179,1283,24,300
33,84,2,2256,65,0.8185808339429408,21.982443306510607,1084,24,300
34,85,2,2289,50,0.7734915924826904,21.745796241345204,1289,24,300
35,86,2,2268,58,0.8173076923076923,22.327724358974358,1020,24,300
36,87,2,2288,43,0.7168458781362007,21.934289127837516,1289,24,300
37,88,2,2240,53,0.7488584474885844,22.09406392694064,1301,24,300
38,89,2,2262,65,0.8211567732115678,22.265601217656013,1246,24,300
39,90,2,2302,44,0.7044167610419027,22.16647791619479,1142,24,300
40,91,2,2259,65,0.7983691623424759,22.29948109710897,1384,24,300
41,92,2,2227,54,0.7252047315741583,21.607825295723384,1521,24,300
42,93,2,2277,48,0.7393458870168483,21.41625371655104,1186,24,300
