run_index,seed,firefighters,final_burnt,contained_at,run_length,collision_events,collisions_per_tick,messages,perception_r,comm_r,max_ticks
0,51,4,2464,57,57,0,0.0,373,6,6,300
1,52,4,2435,44,44,0,0.0,324,6,6,300
2,53,4,2440,70,70,0,0.0,405,6,6,300
3,54,4,2453,52,52,0,0.0,524,6,6,300
4,55,4,2474,55,55,0,0.0,297,6,6,300
5,56,4,2451,65,65,0,0.0,398,6,6,300
6,57,4,2457,57,57,0,0.0,459,6,6,300
7,58,4,2454,54,54,0,0.0,389,6,6,300
8,59,4,2454,71,71,0,0.0,473,6,6,300
9,60,4,2461,66,66,3,0.045454545454545456,374,6,6,300
10,61,4,2434,52,52,0,0.0,353,6,6,300
11,62,4,2449,59,59,0,0.0,456,6,6,300
12,63,4,2447,50,50,0,0.0,435,6,6,300
13,64,4,2454,59,59,0,0.0,370,6,6,300
14,65,4,2458,45,45,0,0.0,351,6,6,300
15,66,4,2447,62,62,1,0.016129032258064516,464,6,6,300
16,67,4,2451,64,64,0,0.0,384,6,6,300
17,68,4,2463,48,48,0,0.0,331,6,6,300
18,69,4,2460,53,53,2,0.03773584905660377,417,6,6,300
19,70,4,2454,45,45,0,0.0,402,6,6,300
20,71,4,2453,46,46,0,0.0,359,6,6,300
21,72,4,2463,53,53,0,0.0,338,6,6,300
22,73,4,2450,51,51,1,0.0196078431372549,332,6,6,300
23,74,4,2445,63,63,2,0.031746031746031744,401,6,6,300
24,75,4,2447,58,58,2,0.034482758620689655,568,6,6,300
25,76,4,2464,63,63,0,0.0,320,6,6,300
26,77,4,2468,51,51,0,0.0,321,6,6,300
27,78,4,2454,63,63,0,0.0,311,6,6,300
28,79,4,2409,59,59,0,0.0,654,6,6,300
29,80,4,2442,63,63,2,0.031746031746031744,443,6,6,300
30,81,4,2474,60,60,3,0.05,209,6,6,300
31,82,4,2443,63,63,5,0.07936507936507936,285,6,6,300
32,83,4,2464,47,47,0,0.0,399,6,6,300
33,84,4,2469,57,57,1,0.017543859649122806,288,6,6,300
34,85,4,2455,70,70,0,0.0,252,6,6,300
35,86,4,2457,49,49,0,0.0,305,6,6,300
36,87,4,2454,50,50,0,0.0,481,6,6,300
37,88,4,2462,49,49,0,0.0,483,6,6,300
38,89,4,2455,53,53,1,0.018867924528301886,417,6,6,300
39,90,4,2461,52,52,0,0.0,422,6,6,300
40,91,4,2429,73,73,0,0.0,467,6,6,300
41,92,4,2438,45,45,0,0.0,397,6,6,300
42,93,4,2426,79,79,0,0.0,513,6,6,300
43,94,4,2419,59,59,1,0.01694915254237288,532,6,6,300
44,95,4,2461,51,51,4,0.0784313725490196,473,6,6,300
45,96,4,2440,48,48,1,0.020833333333333332,537,6,6,300
46,97,4,2458,45,45,0,0.0,334,6,6,300
47,98,4,2460,48,48,1,0.020833333333333332,423,6,6,300
48,99,4,2454,62,62,0,0.0,393,6,6,300
49,100,4,2417,61,61,0,0.0,469,6,6,300
0,51,8,2420,71,71,0,0.0,815,6,6,300
1,52,8,2393,48,48,0,0.0,845,6,6,300
2,53,8,2400,55,55,3,0.05454545454545454,746,6,6,300
3,54,8,2412,51,51,0,0.0,706,6,6,300
4,55,8,2403,70,70,1,0.014285714285714285,756,6,6,300
5,56,8,13,6,6,0,0.0,1,6,6,300
6,57,8,3,4,4,0,0.0,1,6,6,300
7,58,8,2431,47,47,1,0.02127659574468085,817,6,6,300
8,59,8,2382,52,52,0,0.0,709,6,6,300
